# Columns : X	Y	Z	u	v
-90.000000	-90.000000	10.500000	1017.893680	1250.151592
-75.000000	-90.000000	10.500000	910.792994	1252.154995
-60.000000	-90.000000	10.500000	803.983565	1255.457038
-45.000000	-90.000000	10.500000	696.770547	1257.693816
-30.000000	-90.000000	10.500000	588.858109	1260.440800
-15.000000	-90.000000	10.500000	482.040646	1262.348377
0.000000	-90.000000	10.500000	373.928806	1265.003375
15.000000	-90.000000	10.500000	266.520872	1267.548951
30.000000	-90.000000	10.500000	157.662018	1270.361583
45.000000	-90.000000	10.500000	50.604923	1272.862255
-90.000000	-75.000000	10.500000	1021.804592	1160.412125
-75.000000	-75.000000	10.500000	913.801883	1163.027072
-60.000000	-75.000000	10.500000	805.999510	1165.335763
-45.000000	-75.000000	10.500000	697.770694	1167.858306
-30.000000	-75.000000	10.500000	590.052211	1170.126582
-15.000000	-75.000000	10.500000	480.871300	1172.631325
0.000000	-75.000000	10.500000	373.053669	1176.025112
15.000000	-75.000000	10.500000	263.869407	1177.698329
30.000000	-75.000000	10.500000	155.593342	1180.577739
45.000000	-75.000000	10.500000	46.511201	1183.467436
-90.000000	-60.000000	10.500000	1025.719735	1069.026618
-75.000000	-60.000000	10.500000	917.153452	1071.355516
-60.000000	-60.000000	10.500000	808.615740	1074.282388
-45.000000	-60.000000	10.500000	699.895875	1076.376354
-30.000000	-60.000000	10.500000	590.173787	1079.183691
-15.000000	-60.000000	10.500000	481.476255	1082.177903
0.000000	-60.000000	10.500000	371.609977	1084.982901
15.000000	-60.000000	10.500000	262.762095	1087.403003
30.000000	-60.000000	10.500000	153.527853	1089.907148
45.000000	-60.000000	10.500000	43.157782	1092.200458
-90.000000	-45.000000	10.500000	1029.334126	976.835464
-75.000000	-45.000000	10.500000	920.404130	978.894011
-60.000000	-45.000000	10.500000	810.517927	981.304280
-45.000000	-45.000000	10.500000	701.495752	984.541919
-30.000000	-45.000000	10.500000	591.571975	986.920503
-15.000000	-45.000000	10.500000	481.212124	988.911558
0.000000	-45.000000	10.500000	370.604106	992.071981
15.000000	-45.000000	10.500000	260.978239	994.092287
30.000000	-45.000000	10.500000	150.399497	996.737738
45.000000	-45.000000	10.500000	40.334701	999.469663
-90.000000	-30.000000	10.500000	1033.511830	882.976604
-75.000000	-30.000000	10.500000	922.996649	885.212837
-60.000000	-30.000000	10.500000	813.278558	887.781556
-45.000000	-30.000000	10.500000	702.529880	890.380154
-30.000000	-30.000000	10.500000	591.548197	892.329607
-15.000000	-30.000000	10.500000	480.744091	895.089885
0.000000	-30.000000	10.500000	370.080933	898.165557
15.000000	-30.000000	10.500000	258.723328	900.048646
30.000000	-30.000000	10.500000	147.776594	903.299655
45.000000	-30.000000	10.500000	36.908944	905.667153
-90.000000	-15.000000	10.500000	1037.014170	787.800007
-75.000000	-15.000000	10.500000	926.493748	790.323645
-60.000000	-15.000000	10.500000	815.897685	793.377913
-45.000000	-15.000000	10.500000	704.582153	795.396701
-30.000000	-15.000000	10.500000	592.247142	797.874777
-15.000000	-15.000000	10.500000	480.563051	800.113174
0.000000	-15.000000	10.500000	369.029779	802.605572
15.000000	-15.000000	10.500000	256.789346	805.467233
30.000000	-15.000000	10.500000	145.498095	807.435248
45.000000	-15.000000	10.500000	32.766873	810.022083
-90.000000	0.000000	10.500000	1041.264488	691.006536
-75.000000	0.000000	10.500000	930.346723	693.987875
-60.000000	0.000000	10.500000	818.421735	695.934344
-45.000000	0.000000	10.500000	705.191995	698.215231
-30.000000	0.000000	10.500000	593.594062	701.318564
-15.000000	0.000000	10.500000	481.158787	703.545931
0.000000	0.000000	10.500000	367.610907	705.425791
15.000000	0.000000	10.500000	255.538794	708.379420
